               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11901,            0.010223,            0.029785,            0.030597,                 0.5,            0.029965,            0.011237,             0.11198,           0.0040497,             0.03127,              0.0946,              0.0006,              0.0006
                   1,             0.11341,            0.011758,            0.029044,           0.0074604,             0.86111,            0.025998,           0.0085399,               0.103,            0.004624,            0.031268,            0.088291,           0.0012914,           0.0012914
                   2,             0.10393,            0.014488,            0.028978,           0.0035886,             0.90741,            0.023871,           0.0077144,            0.095114,           0.0052026,            0.030546,            0.081974,           0.0019736,           0.0019736
                   3,             0.09849,            0.017229,            0.028051,            0.016579,             0.52778,            0.019797,             0.00627,            0.090454,           0.0056382,            0.029412,            0.075647,           0.0026465,           0.0026465
                   4,            0.092862,            0.019606,            0.027491,            0.071189,            0.039476,            0.041422,            0.015551,            0.084882,           0.0061121,            0.027267,             0.06931,           0.0033102,           0.0033102
                   5,            0.086691,            0.019198,            0.026156,            0.076761,            0.018519,             0.07797,            0.029629,            0.079199,           0.0065462,              0.0253,            0.062965,           0.0039647,           0.0039647
                   6,            0.082859,            0.020439,            0.025967,             0.15751,             0.11111,             0.09805,            0.042758,            0.075175,           0.0067535,            0.023352,             0.05661,           0.0046099,           0.0046099
                   7,            0.076057,            0.020625,             0.02394,             0.25488,             0.21296,             0.16361,            0.069359,              0.0711,           0.0069089,            0.021892,            0.050246,           0.0052459,           0.0052459
                   8,            0.074879,            0.020537,            0.023128,             0.30955,             0.18181,             0.26477,            0.098609,             0.06966,           0.0069531,            0.018885,            0.043873,           0.0058726,           0.0058726
                   9,            0.070676,            0.021173,            0.022219,             0.26035,             0.26852,             0.32176,             0.12552,            0.065486,           0.0071058,            0.016009,             0.03749,           0.0064901,           0.0064901
                  10,            0.067232,            0.020987,            0.020195,             0.34737,             0.27401,             0.38305,             0.15325,            0.066574,           0.0067461,            0.013368,            0.031098,           0.0070984,           0.0070984
                  11,            0.067059,            0.019337,            0.020026,             0.47766,             0.63889,             0.61536,             0.25192,            0.063782,           0.0066854,            0.011139,            0.024697,           0.0076974,           0.0076974
                  12,            0.066291,            0.019259,            0.017112,             0.23517,             0.53704,             0.28387,             0.10098,            0.076084,           0.0064137,            0.010452,            0.018287,           0.0082872,           0.0082872
                  13,            0.065825,            0.019098,            0.015875,              0.4172,             0.64815,              0.4584,             0.19179,            0.073235,            0.006679,           0.0086417,            0.011868,           0.0088677,           0.0088677
                  14,            0.066496,            0.017154,            0.014948,             0.27959,             0.69444,             0.36587,             0.14479,            0.080791,           0.0061504,            0.007559,            0.009076,            0.009076,            0.009076
                  15,            0.064858,            0.016368,             0.01222,               0.358,             0.80452,               0.522,             0.27129,            0.074907,            0.005426,           0.0078106,            0.009076,            0.009076,            0.009076
                  16,            0.062348,            0.016782,            0.011316,              0.3508,             0.65366,             0.48065,             0.23188,            0.087527,           0.0050959,            0.007118,             0.00901,             0.00901,             0.00901
                  17,             0.05804,            0.016658,            0.010318,             0.38298,             0.67593,             0.44886,             0.23681,            0.071439,           0.0056139,           0.0065113,            0.008944,            0.008944,            0.008944
                  18,            0.058178,            0.017386,           0.0079567,             0.58672,             0.74822,             0.59774,             0.31281,            0.070963,           0.0056729,           0.0048584,            0.008878,            0.008878,            0.008878
                  19,            0.059742,            0.016363,           0.0076478,             0.34859,             0.74074,             0.45401,              0.2031,            0.066598,           0.0058673,           0.0041779,            0.008812,            0.008812,            0.008812
                  20,            0.058295,            0.015352,           0.0068147,             0.42504,             0.68781,             0.54257,             0.23117,             0.06599,           0.0057973,           0.0041542,            0.008746,            0.008746,            0.008746
                  21,            0.056169,            0.015723,           0.0069215,             0.47633,             0.72181,             0.51668,             0.25401,            0.074714,           0.0060915,            0.003822,             0.00868,             0.00868,             0.00868
                  22,            0.056325,            0.014787,           0.0067286,             0.46309,             0.62963,             0.46467,             0.19656,            0.065343,           0.0059008,           0.0043367,            0.008614,            0.008614,            0.008614
                  23,            0.053057,            0.015793,           0.0064452,             0.20021,             0.58333,             0.23733,             0.10077,             0.06252,           0.0063252,           0.0047538,            0.008548,            0.008548,            0.008548
                  24,            0.054051,            0.015333,           0.0061873,             0.15175,             0.67396,             0.15914,            0.079488,            0.064716,           0.0063791,           0.0055185,            0.008482,            0.008482,            0.008482
                  25,            0.051233,            0.014359,           0.0055796,             0.12382,             0.62037,             0.13307,            0.057884,            0.071955,           0.0062392,           0.0059393,            0.008416,            0.008416,            0.008416
                  26,            0.054242,            0.013708,           0.0063214,             0.11554,             0.74948,             0.13106,            0.064196,            0.065273,           0.0064877,           0.0054304,             0.00835,             0.00835,             0.00835
                  27,              0.0528,             0.01363,           0.0054146,             0.12475,             0.72792,             0.13471,            0.067731,            0.064306,           0.0060832,           0.0049618,            0.008284,            0.008284,            0.008284
                  28,            0.054344,            0.013674,           0.0054735,             0.13061,             0.77683,             0.13559,            0.076993,            0.060692,           0.0063627,           0.0041606,            0.008218,            0.008218,            0.008218
                  29,            0.049289,            0.013612,           0.0048238,             0.15559,             0.62037,              0.1745,            0.095988,            0.060842,           0.0059669,           0.0036457,            0.008152,            0.008152,            0.008152
                  30,            0.050429,            0.012727,           0.0046569,              0.1276,             0.62963,             0.12448,            0.068003,            0.059425,            0.006868,           0.0030376,            0.008086,            0.008086,            0.008086
                  31,            0.050709,            0.013421,           0.0047511,             0.14675,             0.71296,             0.14632,            0.078426,            0.052848,           0.0065901,           0.0024485,             0.00802,             0.00802,             0.00802
                  32,            0.046904,             0.01324,           0.0048232,             0.17505,             0.81481,             0.17507,             0.10535,            0.047423,            0.006546,           0.0024417,            0.007954,            0.007954,            0.007954
                  33,            0.043398,            0.013978,           0.0045366,             0.21935,             0.80758,             0.22248,             0.11491,            0.050649,           0.0061736,           0.0022903,            0.007888,            0.007888,            0.007888
                  34,            0.045778,            0.014065,           0.0043112,             0.23279,             0.84129,              0.2475,             0.13679,            0.043021,           0.0064432,           0.0023257,            0.007822,            0.007822,            0.007822
                  35,            0.043818,            0.013883,           0.0040825,             0.46696,             0.83333,             0.57253,             0.29925,            0.049764,           0.0052744,           0.0021205,            0.007756,            0.007756,            0.007756
                  36,            0.045911,            0.013304,           0.0041244,             0.59416,             0.84897,              0.7194,             0.40096,            0.042301,            0.004788,           0.0020471,             0.00769,             0.00769,             0.00769
                  37,            0.040964,            0.012715,            0.004764,             0.74842,             0.87334,             0.87886,             0.51793,            0.040116,             0.00456,           0.0019369,            0.007624,            0.007624,            0.007624
                  38,            0.043627,            0.013107,           0.0037607,              0.7334,             0.89343,             0.79124,             0.48173,            0.038808,            0.004697,           0.0019877,            0.007558,            0.007558,            0.007558
                  39,            0.040532,            0.012694,             0.00349,             0.74257,             0.85185,              0.8645,             0.51291,            0.038937,           0.0044451,           0.0020224,            0.007492,            0.007492,            0.007492
                  40,            0.045359,            0.012805,           0.0030659,             0.76128,             0.88114,              0.8171,             0.45181,            0.042169,           0.0044848,           0.0019447,            0.007426,            0.007426,            0.007426
                  41,            0.042643,            0.012348,           0.0034004,             0.73968,             0.83822,             0.80793,             0.42619,            0.040289,           0.0043475,           0.0020616,             0.00736,             0.00736,             0.00736
                  42,            0.043451,            0.012713,            0.003676,             0.73833,             0.96371,             0.90105,             0.49176,             0.04295,            0.004285,           0.0018804,            0.007294,            0.007294,            0.007294
                  43,            0.040289,            0.012555,           0.0030474,             0.74807,             0.91667,             0.88588,              0.5086,            0.038003,           0.0041505,           0.0018165,            0.007228,            0.007228,            0.007228
                  44,             0.04003,            0.011623,           0.0037099,             0.93806,             0.96296,             0.98712,             0.64683,            0.031282,           0.0040429,           0.0018631,            0.007162,            0.007162,            0.007162
                  45,            0.035565,            0.012328,           0.0027602,             0.96534,                   1,             0.99029,             0.58808,            0.034651,           0.0040003,           0.0016437,            0.007096,            0.007096,            0.007096
                  46,            0.039102,            0.012265,           0.0031981,              0.9502,             0.99074,             0.99033,             0.59892,            0.032874,           0.0039856,           0.0015755,             0.00703,             0.00703,             0.00703
                  47,            0.038678,            0.011935,           0.0026766,             0.91468,             0.98021,             0.98231,             0.58357,            0.032294,             0.00384,           0.0015425,            0.006964,            0.006964,            0.006964
                  48,            0.038192,            0.011865,           0.0029918,             0.97444,             0.98833,             0.99441,             0.72165,            0.032571,           0.0037711,           0.0016009,            0.006898,            0.006898,            0.006898
                  49,            0.039175,             0.01173,           0.0026298,             0.89158,             0.98413,             0.93233,             0.60267,            0.036189,           0.0037828,           0.0016007,            0.006832,            0.006832,            0.006832
                  50,            0.035523,            0.011991,           0.0026841,             0.84356,             0.96808,              0.9533,             0.53485,            0.035987,           0.0037647,           0.0016642,            0.006766,            0.006766,            0.006766
                  51,            0.038521,            0.011358,             0.00245,             0.90834,             0.98148,             0.97826,             0.65332,            0.032242,           0.0035978,           0.0017391,              0.0067,              0.0067,              0.0067
                  52,            0.036254,            0.011232,           0.0031805,             0.95797,             0.99912,             0.98251,             0.70501,            0.028999,           0.0035247,           0.0018001,            0.006634,            0.006634,            0.006634
                  53,            0.033414,            0.011344,           0.0028697,             0.87056,             0.98148,              0.9549,             0.57634,            0.035683,           0.0035985,           0.0017268,            0.006568,            0.006568,            0.006568
                  54,            0.037327,            0.010999,           0.0025586,             0.88239,                   1,             0.94116,              0.6006,            0.035099,           0.0036602,           0.0016391,            0.006502,            0.006502,            0.006502
                  55,            0.037385,            0.011043,           0.0020575,             0.87767,             0.99938,             0.90279,             0.61035,            0.028849,           0.0036772,           0.0015547,            0.006436,            0.006436,            0.006436
                  56,            0.036039,            0.011299,           0.0023505,             0.94734,             0.99599,              0.9832,             0.65976,            0.031022,           0.0036095,           0.0016321,             0.00637,             0.00637,             0.00637
                  57,            0.033706,            0.011402,           0.0027376,             0.92539,             0.99074,             0.98698,             0.64599,             0.03285,            0.003598,           0.0014686,            0.006304,            0.006304,            0.006304
                  58,            0.034205,             0.01078,           0.0028468,             0.86315,             0.92388,             0.93186,             0.61023,            0.030053,           0.0037434,           0.0015304,            0.006238,            0.006238,            0.006238
                  59,            0.035057,            0.010664,           0.0020447,             0.87988,             0.93417,             0.93681,             0.60023,            0.029657,           0.0036896,           0.0014998,            0.006172,            0.006172,            0.006172
                  60,            0.033229,            0.010813,           0.0019393,             0.81228,             0.92744,             0.91533,             0.64158,            0.027463,           0.0036384,           0.0015491,            0.006106,            0.006106,            0.006106
                  61,            0.033707,            0.011119,           0.0025463,             0.72062,             0.86409,             0.89454,             0.54322,            0.032187,           0.0036054,           0.0014567,             0.00604,             0.00604,             0.00604
                  62,            0.033415,            0.010653,           0.0024331,             0.90904,             0.99224,             0.98161,             0.68111,            0.029168,           0.0034753,           0.0013958,            0.005974,            0.005974,            0.005974
                  63,            0.032306,            0.010361,           0.0022331,             0.86295,             0.96009,             0.96495,             0.65464,            0.030368,           0.0035284,            0.001449,            0.005908,            0.005908,            0.005908
                  64,            0.031439,             0.01042,           0.0024419,             0.94688,             0.97426,             0.98638,             0.74757,             0.02369,           0.0034597,           0.0014818,            0.005842,            0.005842,            0.005842
                  65,            0.032081,            0.010607,           0.0027966,             0.95666,             0.97255,               0.995,             0.67338,            0.032192,           0.0033853,           0.0014729,            0.005776,            0.005776,            0.005776
                  66,            0.031617,            0.010032,           0.0015928,             0.97488,             0.99768,               0.995,             0.62361,            0.031603,           0.0034018,           0.0014631,             0.00571,             0.00571,             0.00571
                  67,            0.032888,            0.010208,           0.0022231,             0.96299,             0.98211,               0.995,             0.70326,            0.028601,           0.0034225,           0.0015483,            0.005644,            0.005644,            0.005644
                  68,            0.032439,            0.010344,           0.0020422,             0.98362,             0.98353,             0.99455,             0.74403,            0.025199,           0.0034031,           0.0015757,            0.005578,            0.005578,            0.005578
                  69,            0.030224,            0.011015,           0.0022663,             0.89903,                   1,             0.96552,             0.62764,            0.030913,           0.0033775,           0.0016029,            0.005512,            0.005512,            0.005512
                  70,            0.032895,            0.010583,           0.0019626,             0.95482,             0.94805,             0.96874,             0.60384,            0.031572,           0.0033872,           0.0015412,            0.005446,            0.005446,            0.005446
                  71,            0.032344,           0.0098355,           0.0024476,             0.98393,                   1,               0.995,              0.6925,            0.026876,           0.0033115,           0.0016176,             0.00538,             0.00538,             0.00538
                  72,            0.031559,            0.011045,            0.002167,             0.98099,                   1,             0.99391,             0.71643,            0.024181,           0.0033014,           0.0016097,            0.005314,            0.005314,            0.005314
                  73,            0.030486,            0.010087,           0.0024723,             0.99294,             0.97675,               0.995,             0.67984,            0.029323,           0.0032966,           0.0015446,            0.005248,            0.005248,            0.005248
                  74,            0.028672,           0.0098746,           0.0024244,             0.93407,             0.99074,             0.98967,             0.72111,            0.027744,           0.0032462,           0.0013745,            0.005182,            0.005182,            0.005182
                  75,            0.030977,            0.010338,           0.0018521,             0.99607,                   1,               0.995,             0.73331,            0.025744,           0.0032145,           0.0012566,            0.005116,            0.005116,            0.005116
