               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09945,            0.030346,             0.04959,           0.0023554,             0.42626,            0.010086,           0.0030303,            0.025024,            0.020822,            0.015703,              0.0739,              0.0029,              0.0029
                   1,            0.064731,            0.027084,            0.038563,              0.3778,             0.51955,             0.52949,              0.2262,            0.018196,            0.011698,           0.0093224,            0.046861,           0.0058611,           0.0058611
                   2,            0.065235,            0.020532,            0.033781,             0.72738,             0.71257,             0.89025,             0.45384,            0.014985,           0.0073141,           0.0053494,            0.019783,           0.0087825,           0.0087825
                   3,            0.061589,            0.016256,            0.025241,             0.43759,             0.97143,             0.80443,             0.42062,            0.018315,           0.0053604,           0.0045771,            0.009802,            0.009802,            0.009802
                   4,             0.06024,            0.013989,             0.01889,             0.61068,              0.9302,             0.93444,             0.58131,            0.014933,           0.0049417,           0.0018084,            0.009802,            0.009802,            0.009802
                   5,            0.056782,            0.012647,            0.018128,             0.68328,             0.97619,             0.86733,             0.54604,             0.01332,           0.0045467,           0.0013866,            0.009736,            0.009736,            0.009736
                   6,            0.056457,            0.011078,            0.016643,             0.91108,             0.97456,             0.99129,              0.6737,           0.0098876,           0.0052424,           0.0012948,             0.00967,             0.00967,             0.00967
                   7,            0.046037,            0.010891,             0.01365,             0.88462,             0.97716,             0.98377,             0.69696,            0.010423,            0.004178,          0.00088517,            0.009604,            0.009604,            0.009604
                   8,            0.050372,            0.010617,            0.016266,             0.82376,             0.91264,             0.87398,             0.52729,             0.01159,           0.0056785,           0.0011909,            0.009538,            0.009538,            0.009538
                   9,            0.047033,            0.010359,            0.010166,             0.85024,             0.98135,             0.98286,             0.72672,            0.010613,           0.0036553,           0.0012931,            0.009472,            0.009472,            0.009472
                  10,            0.044018,           0.0096486,            0.011162,             0.86734,             0.76807,             0.98429,              0.6178,            0.011485,           0.0034648,           0.0055656,            0.009406,            0.009406,            0.009406
                  11,            0.045221,           0.0094408,            0.010045,             0.68949,             0.95936,             0.88309,              0.5763,            0.010143,           0.0043381,           0.0028061,             0.00934,             0.00934,             0.00934
                  12,             0.04257,           0.0090736,           0.0098126,             0.98882,                   1,               0.995,             0.80751,           0.0069937,           0.0033611,          0.00092929,            0.009274,            0.009274,            0.009274
